code,city,airport,country,provider,base,lat,lon
IAH,Houston/TX,Houston Bush Intercontinental Airport,USA,SITA,136.85,29.9833,-95.3333
IBR,Ibaraki,Ibaraki Airport,Japan,Avicom,131.45,36.1667,140.4000
IBZ,Ibiza,Ibiza Airport,Spain,ENAIRE,131.725,38.8667,1.3667
ICN,Incheon,Incheon Intl’ Airport,Rep. Of Korea,SITA,131.55,37.4667,126.4500
ICT,Wichita/KS,Dwight D. Eisenhower National Airport,USA,SITA,136.85,37.6500,-97.4167
IDA,Idaho Falls/ID,Idaho Falls Rgnl Airport,USA,SITA,136.85,43.5000,-112.0667
IDR,Indore,Devi Ahilyabai Holkar Airport,India,SITA,131.725,22.7167,75.8000
IFN,Isfahan,Isfahan International Airport,Iran,SITA,131.725,32.7500,51.8667
IGR,Iguazu/Misiones,Cataratas del Iguazu,Argentina,SITA,131.725,-25.7333,-54.4667
IGU,Foz do Iguacu,Cataratas Intl,Brazil,SITA,131.55,-25.5833,-54.4833
IKA,Tehran,Imam Khomeini International Airport,Iran,SITA,131.725,35.4000,51.1500
IKT,Irkutsk,Irkutsk Airport,Russia,SITA,131.725,52.2667,104.3500
ILG,New Castle/DE,New Castle Airport,USA,SITA,136.85,39.6667,-75.6000
ILM,Wilmington/NC,Wilmington Intl’ Airport,USA,SITA,136.85,34.2667,-77.9000
IMF,Imphal,Tulihal International Airport,India,SITA,131.725,24.7667,93.8833
IND,Indianapolis/IN,Indianapolis Intl’ Airport,USA,SITA,136.85,39.7500,-86.2667
INN,Innsbruck,Innsbruck Airport,Austria,SITA,131.725,47.2500,11.3500
INT,Winston Salem/NC,W/S Smith Reynolds Airport,USA,SITA,136.85,36.1333,-80.2167
IQQ,Iquique,Diego Aracena Intl’ Airport,Chile,SITA,131.725,-20.5333,-70.1833
IQT,Iquitos,Coronel Francisco Secada Vignetta Intl’ Airport,Peru,SITA,131.725,-3.7833,-73.3000
ISA,Mount Isa,Diego Aracena Airport,Australia,SITA,131.55,-20.7333,139.5000
ISB,Islamabad,Benazir Bhuho Intl’ Airport,Pakistan,SITA,131.725,33.6167,73.9333
ISG,Ishigaki,Ishigaki Airport,Japan,Avicom,131.45,24.3333,124.1833
ISP,Ronkonkoma/NY,Long Island Mac Arthur Airport,USA,SITA,136.85,40.7833,-73.1000
IST,Istanbul,Ataturk Airport,Turkey,SITA,131.725,40.9667,28.8167
ITH,Ithaca/NY,Ithaca Tompkins Rgnl Airport,USA,SITA,136.85,42.4833,-76.4500
ITO,Hilo/HI,Hilo Intl’ Airport,USA,SITA,136.85,19.7167,-155.0333
IVC,Invercargill,Invercargill Airport,New Zealand,SITA,131.55,-46.4167,168.3167
IWJ,Iwami,Iwami Airport,Japan,Avicom,131.45,34.6833,131.8000
IWK,Iwakuni,Iwakuni Air Station,Japan,Avicom,131.45,34.1333,132.2333
IXA,Bagdogra,Bagdogra Airport,India,SITA,131.725,23.8833,91.2333
IXB,Bagdogra,Bagdogra Airport,India,SITA,131.725,26.6833,88.3167
IXC,Chandigarh,Chandigarh International Airport,India,SITA,131.725,30.6667,76.7833
IXJ,Jammu,Jammu Airport,India,SITA,131.725,32.6833,74.8333
IXL,Ladakh (Leh),Bakula Rimpochee Terminal,India,SITA,131.725,34.1667,77.5833
IXR,Ranchi,Birsa Munda Airport,India,SITA,131.725,23.3167,85.3167
IXZ,Port Blair,Vir Savarkar Airport,India,SITA,131.725,11.6667,92.7167
IZO,Izumo,Iumo Airport,Japan,Avicom,131.45,35.4000,132.8833
JAC,Jackson/WY,Jackson Hole Airport,USA,SITA,136.85,43.6000,-110.7333
JAI,Jaipur,Jaipur Airport,India,SITA,131.725,26.8167,75.8000
JAN,Jackson/MS,Jackson Ever Intl’ Airport,USA,SITA,136.85,32.3000,-90.0667
JAX,Jacksonville/FL,Jacksonville Intl’ Airport,USA,SITA,136.85,30.4833,-81.6667
JCI,New Century/KS,New Century Airport,USA,SITA,136.85,38.8333,-94.8833
JCR,Jacareacanga,Destacamento de Controle do Espaço Aéreo,Brazil,SITA,131.55,-6.2333,-57.7833
JED,Jeddah,King Abdulaziz Intl’ Airport,Saudi Arabia,GACA,131.725,21.6500,39.1500
JER,Jersey,Jersey Airport,United Kingdom,SITA,131.725,49.2000,-2.1833
JFK,New York/NY,John F. Kennedy Intl’ Airport,USA,SITA,136.85,40.6500,-73.7833
JHB,Johor Bharu,Sultan Ismail Intl’ Airport,Malaysia,SITA,131.55,1.6333,103.6667
JIB,Djibouti,Djibouti–Ambouli International Airport,Djibouti,SITA,131.725,11.5500,43.1500
JNB,Johannesburg,Johannesburg Intl’ Airport,South Africa,SITA,131.725,-26.1333,28.2333
JNJ,Duqm,Duqm Airport,Oman,SITA,131.725,19.5000,57.6333
JNU,Juneau/AK,Juneau International Airport,USA,SITA,136.85,58.3500,-134.5667
JPR,Ji-Parana,Aeroporto de Ji-Paraná,Brazil,SITA,131.55,-10.8833,-61.8500
JTI,Jataí,Aeroporto Municipal de Jataí,Brazil,SITA,131.55,-17.8333,-51.7667
JUJ,Jujuy,Aeropuerto Internacional de Jujuy,Argentina,SITA,131.725,-24.3833,-65.1000
JUL,Juliaca,Juliaca Airport,Peru,SITA,131.725,-15.4667,-70.1500
JZI,Johns Island SC,Johns Island Exec Airport,USA,SITA,136.85,32.7000,-80.0000
